dateRep;day;month;year;cases;deaths;countriesAndTerritories;geoId;countryterritoryCode;popData2018;continentExp
30/06/2020;30;6;2020;1131;10;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
16/04/2020;16;4;2020;22;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
17/04/2020;17;4;2020;23;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
18/04/2020;18;4;2020;25;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
19/04/2020;19;4;2020;23;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
20/04/2020;20;4;2020;23;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
21/04/2020;21;4;2020;24;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
22/04/2020;22;4;2020;23;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
23/04/2020;23;4;2020;23;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
24/04/2020;24;4;2020;24;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
25/04/2020;25;4;2020;23;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
26/04/2020;26;4;2020;23;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
27/04/2020;27;4;2020;26;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
